Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
MuffinMax Carrot Bars,Leclerc,$2.99,$2.00,$0.99,0.3311
Chicken Flavour Soup,Gattuso,$1.49,$1.00,$0.49,0.3289
Creamy Tomato Soup At Hand,Campbell's,$1.99,$1.34,$0.65,0.3266
Pineapple Jerk Sauce,VH,$3.69,$2.50,$1.19,0.3225
Spicy Thai Chili Sauce,VH,$3.69,$2.50,$1.19,0.3225
Gold Dark Roast Coffee,Nescafe,$10.29,$6.99,$3.30,0.3207
Crispix Krispies Cereal,Kellogg's,$5.79,$3.99,$1.80,0.3109
Rice Krispies Cereal,Kellogg's,$5.79,$3.99,$1.80,0.3109
Rice Krispies Holiday Cereal,Kellogg's,$5.79,$3.99,$1.80,0.3109
Rice Krispies Spring Cereal,Kellogg's,$5.79,$3.99,$1.80,0.3109
Nutrigrain Mixed 32 Pack Cereal Bars,Kellogg's,$11.49,$7.99,$3.50,0.3046
Apple HoneyCrisp Juice,Rougemont,$4.29,$2.99,$1.30,0.3030
Apple With Calcium Juice,Rougemont,$4.29,$2.99,$1.30,0.3030
McIntosh Apple Juice,Rougemont,$4.29,$2.99,$1.30,0.3030
Mellow Apple Juice,Rougemont,$4.29,$2.99,$1.30,0.3030
Royal Gala Apple Juice,Rougemont,$4.29,$2.99,$1.30,0.3030
1/3 Less Salt Corn Niblets,Green Giant,$1.79,$1.25,$0.54,0.3017
Fancy Corn Niblets,Green Giant,$1.79,$1.25,$0.54,0.3017
Fancy Peas,Le Sieur,$1.79,$1.25,$0.54,0.3017
Green Fancy Cut Beans,Green Giant,$1.79,$1.25,$0.54,0.3017
Green French Style Beans,Green Giant,$1.79,$1.25,$0.54,0.3017
Hollandaise Classic Sauce Mix,Knorr,$1.79,$1.25,$0.54,0.3017
Less Salt Green Beans,Green Giant,$1.79,$1.25,$0.54,0.3017
Niblets Cream Style Corn,Green Giant,$1.79,$1.25,$0.54,0.3017
Niblets Peach & Cream Corn,Green Giant,$1.79,$1.25,$0.54,0.3017
Peanut Butter Chocolate Chip Energy Bar,Larabar,$1.79,$1.25,$0.54,0.3017
Summer Sweet Peas,Green Giant,$1.79,$1.25,$0.54,0.3017
Sweetlet Peas,Green Giant,$1.79,$1.25,$0.54,0.3017
Wax Fancy Cut Beans,Green Giant,$1.79,$1.25,$0.54,0.3017
Whole Kernel Non Sugar Non Salt Niblet Corn,Green Giant,$1.79,$1.25,$0.54,0.3017
Oat Chocolate Beverage,Earth's Own,$4.99,$3.50,$1.49,0.2986
Natural HDPE Spring Water,Amaro,$2.49,$1.75,$0.74,0.2972
